,subj_idx,movie,movie_arousal,movie_valence
146,7,imageHH7,3.0,4.0
147,7,imageLH3,4.0,3.0
148,7,imageLL10,4.0,2.0
188,7,imageHH14,4.0,2.0
189,7,imageHL9,3.0,4.0
190,7,imageHL8,3.0,2.0
191,7,imageLL3,4.0,4.0
192,7,imageLH2,5.0,1.0
193,7,imageHH5,3.0,4.0
194,7,imageLL4,4.0,1.0
195,7,imageLH6,5.0,1.0
235,7,imageHH13,5.0,2.0
236,7,imageHL4,4.0,4.0
237,7,imageLH13,5.0,1.0
238,7,imageHL13,3.0,3.0
239,7,imageHH1,5.0,1.0
240,7,imageLL9,5.0,2.0
241,7,imageLH10,5.0,1.0
242,7,imageLL2,5.0,1.0
282,7,imageHL6,4.0,4.0
283,7,imageLL1,5.0,2.0
284,7,imageHH10,3.0,3.0
285,7,imageLH8,3.0,2.0
286,7,imageHH11,5.0,3.0
287,7,imageHL12,3.0,4.0
288,7,imageLL14,3.0,2.0
289,7,imageLH12,5.0,1.0
0,8,imageLH9,4.0,4.0
1,8,imageHL3,4.0,4.0
2,8,imageLL4,1.0,1.0
3,8,imageHL14,5.0,4.0
4,8,imageHH7,4.0,4.0
5,8,imageHH12,4.0,4.0
6,8,imageLH4,4.0,2.0
7,8,imageLL8,4.0,2.0
47,8,imageLH11,5.0,4.0
48,8,imageHH13,3.0,3.0
49,8,imageLL13,4.0,2.0
50,8,imageHL12,4.0,5.0
51,8,imageLL3,5.0,5.0
52,8,imageLH14,5.0,1.0
53,8,imageHH14,1.0,3.0
54,8,imageHL8,3.0,3.0
94,8,imageLH5,5.0,4.0
95,8,imageHL9,5.0,3.0
96,8,imageLL14,5.0,3.0
97,8,imageLH1,2.0,1.0
98,8,imageHH10,5.0,2.0
99,8,imageHH5,5.0,4.0
100,8,imageLL6,3.0,1.0
101,8,imageHL2,1.0,1.0
141,8,imageHH9,5.0,5.0
142,8,imageLL9,4.0,1.0
143,8,imageHH1,5.0,1.0
144,8,imageHL6,1.0,3.0
145,8,imageLL5,4.0,3.0
146,8,imageHL5,4.0,3.0
147,8,imageLH8,4.0,4.0
148,8,imageLH2,3.0,3.0
188,8,imageHL4,5.0,5.0
189,8,imageLL10,4.0,1.0
190,8,imageLL2,5.0,3.0
191,8,imageHH8,5.0,4.0
192,8,imageLH6,4.0,4.0
193,8,imageLH7,2.0,1.0
194,8,imageHL1,1.0,3.0
195,8,imageHH2,1.0,3.0
235,8,imageHH6,5.0,3.0
236,8,imageHH3,2.0,1.0
237,8,imageLL11,5.0,4.0
238,8,imageLH13,5.0,1.0
239,8,imageHL10,5.0,4.0
240,8,imageLL1,1.0,1.0
241,8,imageHL7,4.0,3.0
242,8,imageLH3,1.0,1.0
282,8,imageLL12,5.0,1.0
283,8,imageHL13,5.0,4.0
284,8,imageHL11,1.0,3.0
285,8,imageLH12,5.0,4.0
286,8,imageHH11,1.0,1.0
287,8,imageLH10,3.0,1.0
288,8,imageLL7,3.0,4.0
289,8,imageHH4,1.0,1.0
0,9,imageLH2,4.0,4.0
1,9,imageLH1,4.0,2.0
2,9,imageLL7,3.0,2.0
3,9,imageHL7,3.0,1.0
4,9,imageHL13,2.0,3.0
5,9,imageLL6,2.0,1.0
6,9,imageHH6,3.0,4.0
7,9,imageHH3,1.0,1.0
47,9,imageLH11,4.0,3.0
48,9,imageLL4,4.0,2.0
49,9,imageHH1,4.0,2.0
50,9,imageHH10,3.0,2.0
51,9,imageHL8,2.0,4.0
52,9,imageLL5,4.0,2.0
53,9,imageLH5,4.0,3.0
54,9,imageHL5,3.0,4.0
94,9,imageLL10,3.0,2.0
95,9,imageLL3,3.0,2.0
96,9,imageLH9,3.0,2.0
97,9,imageHL4,3.0,4.0
98,9,imageLH4,3.0,2.0
99,9,imageHH12,4.0,4.0
100,9,imageHL11,2.0,2.0
101,9,imageHH7,3.0,4.0
141,9,imageHH4,2.0,5.0
142,9,imageHL14,2.0,4.0
143,9,imageHH11,3.0,4.0
144,9,imageLH3,4.0,2.0
145,9,imageLH13,3.0,2.0
146,9,imageLL2,4.0,2.0
147,9,imageHL9,3.0,5.0
148,9,imageLL11,4.0,2.0
188,9,imageHH14,1.0,5.0
189,9,imageLL9,4.0,2.0
190,9,imageLH14,4.0,1.0
191,9,imageLL1,4.0,1.0
192,9,imageHH8,2.0,5.0
193,9,imageHL10,1.0,5.0
194,9,imageHL1,3.0,3.0
195,9,imageLH6,3.0,1.0
235,9,imageHH2,3.0,4.0
236,9,imageHH9,3.0,4.0
237,9,imageLL8,3.0,2.0
238,9,imageHL12,3.0,2.0
239,9,imageHL6,3.0,3.0
240,9,imageLH7,4.0,1.0
241,9,imageLH10,4.0,1.0
242,9,imageLL13,3.0,2.0
282,9,imageLL14,4.0,4.0
283,9,imageHL3,2.0,4.0
284,9,imageHH13,4.0,3.0
285,9,imageLH12,4.0,2.0
286,9,imageLH8,3.0,3.0
287,9,imageHH5,3.0,3.0
288,9,imageLL12,3.0,2.0
289,9,imageHL2,3.0,4.0
0,10,imageLH3,3.0,3.0
1,10,imageHH6,2.0,2.0
2,10,imageLL8,4.0,3.0
3,10,imageHH2,1.0,3.0
4,10,imageHL2,1.0,3.0
5,10,imageHL13,3.0,4.0
6,10,imageLH1,5.0,4.0
7,10,imageLL9,4.0,4.0
47,10,imageHH1,2.0,3.0
48,10,imageHH8,1.0,3.0
49,10,imageLL6,3.0,3.0
50,10,imageLH10,3.0,1.0
51,10,imageHL11,1.0,3.0
52,10,imageHL8,1.0,3.0
53,10,imageLL7,2.0,3.0
54,10,imageLH9,2.0,2.0
94,10,imageHL9,2.0,4.0
95,10,imageHL6,1.0,3.0
96,10,imageLH7,3.0,2.0
97,10,imageLL14,2.0,3.0
98,10,imageHH9,1.0,3.0
99,10,imageLH8,2.0,2.0
100,10,imageLL13,1.0,3.0
101,10,imageHH12,1.0,3.0
141,10,imageLL4,3.0,2.0
142,10,imageHH14,1.0,3.0
143,10,imageHH5,1.0,3.0
144,10,imageLL5,3.0,3.0
145,10,imageLH12,3.0,3.0
146,10,imageHL4,4.0,4.0
147,10,imageHL1,3.0,3.0
148,10,imageLH2,2.0,3.0
188,10,imageLL10,2.0,3.0
189,10,imageHH13,2.0,3.0
190,10,imageLL12,2.0,2.0
191,10,imageLH14,2.0,2.0
192,10,imageLH5,3.0,3.0
193,10,imageHH7,3.0,4.0
194,10,imageHL12,1.0,3.0
195,10,imageHL7,2.0,3.0
235,10,imageLH13,3.0,4.0
236,10,imageLH4,3.0,3.0
237,10,imageHL14,2.0,4.0
238,10,imageLL2,2.0,3.0
239,10,imageLL3,1.0,3.0
240,10,imageHL10,1.0,1.0
241,10,imageHH11,3.0,4.0
242,10,imageHH4,4.0,4.0
282,10,imageHH3,1.0,3.0
283,10,imageLL1,3.0,3.0
284,10,imageHL3,2.0,2.0
285,10,imageHH10,2.0,4.0
286,10,imageLL11,3.0,4.0
287,10,imageHL5,1.0,3.0
288,10,imageLH6,4.0,4.0
289,10,imageLH11,2.0,3.0
0,11,imageHH4,4.0,4.0
