,subj_idx,stim,rt,response,group,arousal,valence
82,8,0V0A,0.8904,1,group2,2,4
83,8,0V0A,1.0304,1,group2,2,4
84,8,0V0A,0.9693,1,group2,2,4
3613,8,0V1A,2.5802,1,group2,3,4
3614,8,0V1A,2.063,0,group2,3,4
3615,8,0V1A,1.5392,1,group2,3,4
3616,8,0V1A,1.4647,0,group2,3,4
3617,8,0V1A,1.253,0,group2,2,5
3618,8,0V1A,1.6082,0,group2,2,5
3619,8,0V1A,1.3397,0,group2,2,5
3620,8,0V1A,0.9548,1,group2,2,5
3621,8,0V1A,1.6595,0,group2,1,3
3622,8,0V1A,1.5266,0,group2,1,3
3623,8,0V1A,2.6196,0,group2,1,3
3624,8,0V1A,1.0936,0,group2,1,3
3625,8,0V1A,1.8742,1,group2,1,3
3626,8,0V1A,1.5535,0,group2,1,3
3627,8,0V1A,3.2023,1,group2,1,3
3628,8,0V1A,0.6112,1,group2,1,3
3629,8,0V1A,2.3405,1,group2,2,3
3630,8,0V1A,1.1858,0,group2,2,3
3631,8,0V1A,1.6129,1,group2,2,3
3632,8,0V1A,2.5056,1,group2,2,3
3633,8,0V1A,1.7424,1,group2,3,4
3634,8,0V1A,2.1578,1,group2,3,4
3635,8,0V1A,3.235,0,group2,3,4
3636,8,0V1A,2.1251,0,group2,3,4
3637,8,0V1A,4.5247,1,group2,2,4
3638,8,0V1A,1.1132,0,group2,2,4
3639,8,0V1A,0.7959,1,group2,2,4
3640,8,0V1A,4.0589,1,group2,2,4
7169,8,1V0A,2.7908,1,group2,3,4
7170,8,1V0A,1.2243,1,group2,3,4
7171,8,1V0A,1.3812,1,group2,3,4
7172,8,1V0A,1.3937,0,group2,3,4
7173,8,1V0A,1.3655,0,group2,2,5
7174,8,1V0A,1.2357,1,group2,2,5
7175,8,1V0A,1.2415,0,group2,2,5
7176,8,1V0A,0.842,1,group2,2,5
7177,8,1V0A,1.8416,1,group2,1,3
7178,8,1V0A,1.1888,1,group2,1,3
7179,8,1V0A,2.8096,0,group2,1,3
7180,8,1V0A,1.0099,1,group2,1,3
7181,8,1V0A,1.6248,0,group2,1,3
7182,8,1V0A,2.2091,1,group2,1,3
7183,8,1V0A,1.2074,1,group2,1,3
7184,8,1V0A,1.1978,1,group2,1,3
7185,8,1V0A,2.8567,0,group2,2,3
7186,8,1V0A,1.9359,0,group2,2,3
7187,8,1V0A,1.5075,1,group2,2,3
7188,8,1V0A,1.265,1,group2,2,3
7189,8,1V0A,1.5419,0,group2,3,4
7190,8,1V0A,2.2932,0,group2,3,4
7191,8,1V0A,2.212,0,group2,3,4
7192,8,1V0A,1.6592,1,group2,3,4
7193,8,1V0A,2.2037,0,group2,2,4
7194,8,1V0A,4.902947003,1,group2,2,4
7195,8,1V0A,1.3162,1,group2,2,4
7196,8,1V0A,1.1891,0,group2,2,4
10725,8,1V1A,3.1359,1,group2,3,4
10726,8,1V1A,1.4183,1,group2,3,4
10727,8,1V1A,3.2564,1,group2,3,4
10728,8,1V1A,1.6074,0,group2,3,4
10729,8,1V1A,1.1255,0,group2,2,5
10730,8,1V1A,1.0469,0,group2,2,5
10731,8,1V1A,1.0271,0,group2,2,5
10732,8,1V1A,2.4993,1,group2,2,5
10733,8,1V1A,1.0757,0,group2,1,3
10734,8,1V1A,1.7694,0,group2,1,3
10735,8,1V1A,1.9301,1,group2,1,3
10736,8,1V1A,4.5011,0,group2,1,3
10737,8,1V1A,2.3758,1,group2,1,3
10738,8,1V1A,2.8919,1,group2,1,3
10739,8,1V1A,1.1404,1,group2,1,3
10740,8,1V1A,0.9921,1,group2,1,3
10741,8,1V1A,2.0328,1,group2,2,3
10742,8,1V1A,2.308,1,group2,2,3
10743,8,1V1A,3.8212,1,group2,2,3
